thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
15dx01k,"Camera shoot off: Ricoh GR ii vs Leica D-LUX 3, help me decide!",2,1,0.28863218426704407,0.0,0.015605412161283841,0.011361045514417667,0.009728601237415058,0.3795488774776459,0.48882585763931274,0.42731162905693054,0.42731162905693054,0.42731162905693054,-0.017839975655078888,-0.017839975655078888,-0.017839975655078888,-0.017839975655078888,0,2,0.0,0.0319052254781127,0.6931471805599453,0.20801459767650946,1.0,1.0,neutral,0.5,0.0,0.0,0.5,0.5,34.0,34.0,0.7083333333333334,1.0,1.0,0.0,0.0,0.00204897447838448,0.0036240331828594208,0.0033090214419644326,3.5562742368711042e-06,5.951607818133198e-06,5.472541101880779e-06,0.00033066746982512996,0.0006364872097037733,0.0005753232617280446,8.489189622196136e-05,0.00015289396105799824,0.00013929354809079087,0.0002656507131177932,0.0004053973243571818,0.00037744800210930406,0.00011731477206922136,0.0001633676147321239,0.0001541570461995434,0.0004751759339759095,0.0008313551500881052,0.0007601193068656661
18fgf7,Ideas to repurpose a digital camera with a broken LCD screen? ,11,55,0.3165696154941212,0.09090909090909091,0.05751277026427831,0.04917267245362723,0.047336028781319504,0.5064480239694769,0.5025323965332725,0.4986813409761949,0.4950169026851654,0.6048760414123535,0.2027743011713028,0.19070079922676086,0.4773018956184387,0.4261164367198944,1,10,0.09090909090909091,0.1311468488790772,1.0335620542068176,0.3101736556236982,0.9090909090909091,0.6,neutral,0.6363636363636364,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.36363636363636365,21.78596105691814,31.5,0.9111998921144469,4.0,2.5454545454545454,1.3333333333333333,2.0833333333333335,0.0006332375209736215,0.0009226209367625415,0.0009182783542200923,1.749804782362348e-06,2.6668471946322825e-06,2.6358979994256515e-06,4.433634702846493e-05,0.00010607606964185834,7.472463039448485e-05,2.810006811738607e-05,4.368451482150704e-05,4.01662546209991e-05,0.0001325818454709158,0.00018241285579279065,0.00017410119471605867,9.814295613482086e-05,0.0001802667393349111,0.00012492717360146344,0.00015635809041792857,0.00021880298550058797,0.00021635945260338
1atj10,"""As someone who used many different Leica M film rangefinders, this thing is more Leica M than any digital camera Leica has made yet. By a long shot.""",34,561,0.3213321494333672,0.18181818181818182,0.046063463887357645,0.030273016744993473,0.024795759790548613,0.4838539738068606,0.5089804476488933,0.49103360805069485,0.49698272347450256,0.5968260169029236,0.2430344521999359,0.25327661633491516,0.6959432363510132,0.4819895327091217,1,33,0.029411764705882353,0.09389458563836182,1.7681772928020631,0.530632885047351,0.7941176470588235,0.7878787878787878,neutral,0.5,0.35294117647058826,0.08823529411764706,0.058823529411764705,0.5,57.92323550245329,51.25,1.0104617789037516,8.0,3.1176470588235294,1.2857142857142858,3.824561403508772,0.09002306527690962,0.9850673675537109,0.18673987984657286,0.0013309730885499877,0.03370679169893265,4.017269366158869e-05,0.0595007324086242,0.9636589884757996,0.01140234796330332,0.00030857813517821557,0.00455416738986969,0.00048599863948766136,0.042029555164952076,0.6553307175636292,0.11987077891826625,0.0007890497990421649,0.015519807115197182,0.001120749389519915,0.03233032564554271,0.4423331038366693,0.0568121753918831
1dk0qig,Opinion: Compact Cameras Market and Future expectations,13,78,0.3230371152361234,0.3333333333333333,0.052399313084585335,0.03403956006670241,0.02753644472998088,0.5272309249028181,0.5328999497951605,0.5264287365552707,0.5227921605110168,0.6033042073249817,0.3537556529045105,0.33873575925827026,0.7005681395530701,0.6143328547477722,2,11,0.15384615384615385,0.1560206345927257,2.098147389135067,0.6296574483133235,1.1538461538461537,1.0,neutral,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.07692307692307693,0.23076923076923078,82.31365902168645,58.0,1.1275843701600883,2.0,1.4615384615384615,1.2,1.1428571428571428,0.0007095071173702868,0.0021583708003163338,0.0012552382424473765,1.9083298201831685e-06,4.835431354877073e-06,2.73935943368997e-06,6.639103020671218e-05,0.00029247664497233927,0.0001249221153557301,2.8321321923823023e-05,7.962500239955261e-05,4.934682365274059e-05,0.00014783981448719994,0.0002587153285276145,0.0002508468227460981,9.255512066794417e-05,0.00023162657453212887,0.00012132739502703772,0.00017442045574602488,0.0004851126924828956,0.0003111357435576187
1drqpj1,Is it possible to do a manual focus on this camera or would it be digital?,2,1,0.3095913827419281,0.0,0.009396232525995606,0.007493356632324915,0.0067078869974133825,0.36165398359298706,0.5875910520553589,0.447733998298645,0.447733998298645,0.447733998298645,0.08282048255205154,0.08282048255205154,0.08282048255205154,0.08282048255205154,1,1,0.5,0.4866305775940418,0.6931471805599453,0.20801459767650946,1.0,1.0,confusion,0.5,0.0,0.0,0.5,0.5,42.0,42.0,0.8235294117647058,2.0,1.5,1.0,1.0,0.0005147748306626454,0.0005997032858431339,0.0005827175948070362,1.5139061702029721e-06,1.7704396668705158e-06,1.719132967537007e-06,3.4118269468308426e-05,3.561258199624717e-05,3.5313719490659426e-05,2.3667306777497288e-05,2.4231763745774515e-05,2.411887235211907e-05,0.00011384289609850384,0.00013492314610630274,0.00013070709610474296,7.964569158502854e-05,8.523385622538626e-05,8.411622329731473e-05,0.0001279271501270311,0.0001463288969224171,0.00014264854756333988
1ege40m,What should be my first leica digital camera?,5,10,0.29324265122413634,0.0,0.05356843984022712,0.045332815813571806,0.043052722182478693,0.5298828393220901,0.41653965413570404,0.4572179913520813,0.4359659105539322,0.5808573961257935,0.45308977365493774,0.4430139660835266,0.45308980345726013,0.6532036066055298,0,5,0.0,0.0414572149515152,0.5004024235381879,0.15017158220936364,0.8,0.25,neutral,0.8,0.2,0.0,0.6,0.2,32.98120676991671,5.0,1.2125443665410556,3.0,2.0,1.5,1.5,0.0010338533204048872,0.0035032620653510094,0.0023157835239544515,2.6956103965858348e-06,7.836756594770122e-06,5.296116160025122e-06,7.339780204347335e-05,0.00023861676163505763,0.00015960155869834127,0.0002432202651107218,0.0011396299814805388,0.0006917595004779288,0.00013044794322922826,0.0002250649849884212,0.0001892432221211493,0.0001004608886432834,0.0002216949942521751,0.00016273611981887373,0.00026401263830469663,0.0008893509240503287,0.000586899590499949
1fmwv74,"Just got my first camera! Heard Leica is good, so I got one. Not sure why it also says Lumix though, maybe the manufacturer couldn't decide on a name? Anyways, I don't know why people say Leica is expensive, this only cost me 10$!",17,136,0.3223113814989726,0.06666666666666667,0.06467957237418662,0.058552066645624436,0.05918714908965928,0.44042643356849165,0.45443399929824996,0.4446349540615783,0.45225730538368225,0.7329906225204468,0.09868208318948746,0.06034768000245094,0.48014020919799805,0.2402581125497818,3,14,0.17647058823529413,0.21294918020858483,0.9976148641399869,0.2993858453446284,0.9411764705882353,0.5,neutral,0.7058823529411765,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.6470588235294118,11.37562500659447,16.0,0.727013628241,4.0,1.8823529411764706,1.0,1.5333333333333334,0.04489113400204053,0.6765398979187012,0.02458013836294414,5.3663612728836166e-05,0.0007769427029415965,4.043016815558077e-05,0.025366792834093384,0.4271220862865448,0.00122766862041317,8.267520195873017e-05,0.0002458476519677788,0.000194939854554832,0.012232762581655099,0.1958932876586914,0.002704718406312169,0.0005454871994408998,0.0033994673285633326,0.0015826609451323748,0.01386208590531958,0.21701634990070792,0.005117809456351099
1hgdxjr,My take on the D-Lux 8 as a professional full time photographer.,75,2775,0.3215407137241628,0.1388888888888889,0.04638824552086813,0.034914903325706285,0.031073015900718225,0.4838263926527522,0.4894818111690315,0.48211093416085116,0.492063045501709,0.6396191716194153,0.20437759160995483,0.17142868041992188,0.7161948084831238,0.4601857364177704,8,67,0.10666666666666667,0.14618083706746499,2.3246059044925795,0.6976180175598988,0.9333333333333333,0.7972972972972973,neutral,0.3333333333333333,0.5066666666666667,0.05333333333333334,0.08,0.36,36.47807499794302,38.0,0.9555905081542879,6.0,2.3733333333333335,1.4,2.2413793103448274,0.014146887892857195,0.8961811661720276,0.005370994750410309,3.7586951884804875e-06,4.843950955546461e-05,6.215548455656971e-06,0.00023133802955271676,0.006450619548559189,0.00030285593238659077,0.0002650079148588702,0.013171211816370487,0.00016235631483141333,0.011564336342271418,0.8392170667648315,0.0005266019259579479,0.00021109080999546373,0.005028766579926014,0.00032584503642283334,0.00440373661412069,0.28944604436765076,0.0011943501903260755
1hnaqz8,Leica D-Lux 8 or Sony α6700?,11,55,0.29681628942489624,0.0,0.04833113957597017,0.025332420159969886,0.017158699038426553,0.47056073275479404,0.5367127190936696,0.4969539474357258,0.5006712675094604,0.6266723871231079,0.46855586767196655,0.4504631757736206,0.727678656578064,0.6989861130714417,1,10,0.09090909090909091,0.11502826450900598,0.7595473914748635,0.2279414091048473,0.7272727272727273,0.6,neutral,0.7272727272727273,0.45454545454545453,0.0,0.09090909090909091,0.45454545454545453,80.8453272746716,135.5,0.7337447194895937,3.0,1.3636363636363635,1.5,1.6666666666666667,0.0005505924636963755,0.0009178856271319091,0.0007760078879073262,1.8014860849937329e-06,3.1679062431066995e-06,2.145337020920124e-06,4.944610736856703e-05,0.00012730920570902526,5.7515790103934705e-05,2.705583442134825e-05,6.05793138674926e-05,5.389861325966194e-05,0.00013148317454827273,0.00023441972734872252,0.00015003040607552975,8.64187995003621e-05,0.00012459905701689422,0.0001184101274702698,0.0001411329776033199,0.0002446601395528584,0.00018379407390511915
1m4bis8,help me pick out my first serious digital camera?,12,66,0.30374788492918015,0.08333333333333333,0.04177014537815242,0.02738066369418193,0.022700206628358054,0.4644030215162219,0.473184017069412,0.463568313555284,0.48582319915294647,0.6053189039230347,0.3251376450061798,0.3146054148674011,0.5789610147476196,0.5147457122802734,1,11,0.08333333333333333,0.08427799570684631,1.234267866079077,0.37040579661606077,1.0,0.5454545454545454,neutral,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.25,0.3333333333333333,29.310004928162137,58.75,0.6992446503736495,3.0,1.5,1.25,1.5,0.0450019118701069,0.5086848139762878,0.02337400493561291,5.87861408500127e-06,4.253958468325436e-05,1.0886347718042092e-05,0.001325139642328092,0.010211058892309666,0.004766949036275039,4.43393782916246e-05,0.00023416151816491038,4.802573312190361e-05,0.033202046581815615,0.3961361050605774,0.0010113038239069286,0.00015559362933951584,0.0007001293706707656,0.00025538377230986957,0.013289151619327791,0.15173987781327014,0.005745421079533725
